 ,6,9,12,15,18,21,24,27,30,33,36,39
6,50,0,0,0,0,0,0,0,0,0,0,0
9,0,50,0,0,0,0,0,0,0,0,0,0
12,0,0,50,0,0,0,0,0,0,0,0,0
15,0,0,0,50,0,0,0,0,0,0,0,0
18,0,0,0,0,50,0,0,0,0,0,0,0
21,0,0,0,0,0,47,3,0,0,0,0,0
24,0,0,0,0,0,0,50,0,0,0,0,0
27,0,0,0,0,0,0,0,2,48,0,0,0
30,0,0,0,0,0,0,0,15,35,0,0,0
33,0,0,0,0,0,0,0,0,0,49,1,0
36,0,0,0,0,0,0,0,0,0,9,38,3
39,0,0,0,0,0,0,0,0,0,0,18,32
