days,precision,recall,f1-score,support
6,1,1,1,110
9,1,1,1,99
12,1,1,1,100
15,1,0.831683168,0.908108108,101
18,0.79389313,0.920353982,0.852459016,113
21,0.438848921,0.734939759,0.54954955,83
24,0.589403974,0.809090909,0.681992337,110
27,0,0,0,113
30,1,0.269230769,0.424242424,104
33,0.3984375,0.962264151,0.563535912,106
36,1,0.519685039,0.683937824,127
39,0.912087912,0.93258427,0.922222222,89
